Title,Theme,Type,Media,Attribution,Tags,URL,Description,Image Rights,Unnamed: 9
Chronicles,Memory,Manuscript,Memory 7_chronicle; Memory 7_chronicle2,"Bristol archives, / Cambridge University Library, Dd.71.11",,,"William Adams describes his manuscript chronicle on the title page as being a ‘chronicle of the formost inhabitants of this famous Iland […] collected from Thomas Lanquet and other authors’. It follows the usual structure of the chronicle, with the history of England laid out in order from the Romans to the seventeenth century. Addams writes this in Bristol, his home city, and begins it in 1625, though some of the content is much later. He was a draper of the city, so a tradesman, but was also highly literate and writes with an italic hand common by the mid-seventeenth century. He writes in the introduction that he ‘penned’ it for his ‘delight and helpe of memory’ and ‘to stop the mowthes of foolish people, that will talke what a merry world it was in former ages’. This volume, then, is a means through which Addam can display his extensive reading practices through copying extracts of information about the past into his own Chronicle, which he can use to teach others about the past. This image displays the beginning of his writings about Elizabeth I, and he shows off his drawing abilities with a copy of a print of the queen in black ink in the top corner. 
",Need permission for both,
Pageant,Memory,Print,Memory 8_pageant,"Chesters Triumph in Honor of her Prince: As it was Performed upon St George's Day 1610 in the for said citie (London, 1610)",,,"This printed volume is a record of a pageant that took place in Chester on St George’s Day in 1610. As such, it memorialises an event which took place as a performance, which included costumes, music, acting, horseracing and elaborate props. Robert Amery, citizen of the town and sheriff in 1608, proposed the pageant and it is to him this printed text is attributed. [need more]...
",British Library,
Glassmaking,Mobility,Site,Mobility 1_Glassmaking,"Historic England “Medieval and Early Post-Medieval Glassworks.” 
https://historicengland.org.uk/images-books/publications/iha-glassworks/heag236-medieval-and-early-post-medieval-glassworks/
",,"https://historicengland.org.uk/images-books/publications/iha-glassworks/heag236-medieval-and-early-post-medieval-glassworks/
","Migration of various kinds is crucial to understanding the cultural lives of the middling sort. This image depicts an excavated furnace, established sometime in the 1580s, in Eccleshall in Staffordshire.  Such furnaces represent the physical and economic stamp made on England by glassmakers from across Europe.  Among the most important of such glassmakers, Jean Carrè, born in France and trained in Antwerp—a Huguenot (French Protestants persecuted by the Catholic powers)—moved to England in 1567.  Glassmaking was a relatively small-scale and undeveloped craft in England in this period, and the government accordingly issued Carrè and his partner, Anthony Becku, a monopoly on glass production.  They set up their shop in the Weald in Surrey and Sussex, building furnaces, and produced window glass as well as Venetian-influenced glassware.  Carrè’s techniques would set up a new industry in the Weald and give rise to what is generally termed “Wealden glassmaking,” helping establish a new technology and industry in England. 
",?,
Sheldon Tapestries,Mobility,Textiles,Mobility 2_Sheldon,"T.7b-1961 © Fitzwilliam Museum, Cambridge
",,,"European migrants brought a whole range of skills to England. Like Carré, Richard Hyckes travelled from the Netherlands to work in England as a tapestry weaver. This woven cushion cover shows scenes from the life of Tobias, and at almost a metre long it was probably used in a window seat in an elite house. The distinctive style is referred to as “Sheldon”, indicating manufacture in a small town  in the midlands in Warwickshire, under the management of William Sheldon.  This attribution has been challenged by recent scholarship that has demonstrated how involved immigrant craftspeople were in the production, design, and manufacture of the so-called “Sheldon” tapestries.  A large number of émigré weavers came to England in the later sixteenth and early seventeenth centuries, in particular from Flemish areas in the continent. Recent research has indicated the centrality of Richard Hyckes to the production of these tapestry weavings and to the work of Sheldon and his manufacturing scheme. The production of woven cloth, with intricate patterns, like this one, which would have been a prized aesthetic feature for elite homes, is therefore testament to the skill and labour that comes from European immigration.  
",,
Box,Mobility,Furniture,Mobility 3_inlay,"Box c 1600 with rectilinear inlay, nulling, punchwork and mastic initials (Bulstrode www.bulstrodes.co.uk/)
",,www.bulstrodes.co.uk/,"The new techniques that immigration brought from Europe also provided new aesthetic styles and means of manufacture.  This box represents the contribution of “inlay”—a particular technique that marks out joined furniture (boxes, chairs, stools) as “modern” and fashionable (thanks to its visibility in different colours). Such items, not elaborately decorated but marked by these distinctions, begin to suggest a specifically middling interest in well-designed, contemporary furniture items . 

",,
Proclamation,Mobility,Manuscript,Mobility 4_race,"Draft proclamation on the expulsion of 'Negroes and Blackamoors', 1601
Historical Manuscripts Commission, Salisbury MSS, xi, 569 (Hatfield Cecil Papers 91/15)
",,British library website,"This draft proclamation of 1601 provides clear indication that there was a sizeable population in England of people who were not “white,” in our contemporary expression. Research into the lives of black men and women has demonstrated that “middling” is not synonymous with “white,” and that titles such as “haberdasher,” “musician,” “silkweaver,” “soldier,” “royal page,” or “diver” could and were held by those of various different races (see Imtiaz Habib, 4). All swathes of English society would therefore be aware of, and many living alongside, middle-eastern, African, and Asian individuals in a period when the notion of “race” was being shaped and reinvented. These individuals also supported middling identity as craftspeople: in Bristol in the 1560s, the prominent citizen Sir John Young “did appointe a blacke moore to keep possession of his garden” (Habib REF) (the TIDE project provides detailed definitions for the racial vocabulary of early modern England, including the term “blackamoor,” LINK).  Many middling men and women, particularly those who were literate, might then be closely engaged in discursive ideas of race, as they read descriptions of the new world by writers such as Hakluyt, encountered its theatrical representations in plays by Peele or Shakespeare, sometimes while working and living alongside black craftspeople. 
",,
Bartmann Jug,Mobility,Furniture,Mobility 5_bartmann,Shakespeare Birthplace Trust,,https://www.shakespeare.org.uk/explore-shakespeare/blogs/shakespeare-100-objects-bartmann-jug/,"Goods also travelled across the world. This vessel would have been a familiar sight to almost every man and woman of early modern England, and stoneware jugs were owned in particularly large numbers by the middling [INVENTORY EVIDENCE?].  These so-called Bartmann or Bellarmine jugs originated in the Rhineland in Germany, characterised by their bearded face and distinctive shape, were used to store foodstuffs, wine, or other liquids, of which the middling often stored large quantities.  They were broadly known in England as “Cologne ware,” indicating a deep connection between this everyday object and its (vague) location on the continent.  Middling men and women would therefore purchase, own, and encounter in inns, jugs decorated with faces like these, and they frequently come down to us through archaeological digs—including at sites like the Curtain playhouse in London.  

",SBT,
Iznik Dish,Mobility,Furniture,Mobility 6_Iznik,?,?,?,"This “Iznik” dish indicates how cultures beyond Europe have a central influence on English aesthetic design and experiences, particularly for those in a position to visit or interact with the world outside England’s shores, through trade or travel. [Need to put something in about islamic influences that picks up on race and on religious imagery in England.]
",?,
Paper,Mobility,Paper,Mobility 7_paper,"This “Iznik” dish indicates how cultures beyond Europe have a central influence on English aesthetic design and experiences, particularly for those in a position to visit or interact with the world outside England’s shores, through trade or travel. [Need to put something in about islamic influences that picks up on race and on religious imagery in England.]
",,"This “Iznik” dish indicates how cultures beyond Europe have a central influence on English aesthetic design and experiences, particularly for those in a position to visit or interact with the world outside England’s shores, through trade or travel. [Need to put something in about islamic influences that picks up on race and on religious imagery in England.]
","This unusual image, which appears on the surface like a crude drawing, is in fact the traced outline of a “watermark” from a piece of early modern paper.  Watermarks were present in all sheets of paper produced in the period, and they identify its origins and makers.  The Gravell Watermark Archive, from which this image is taken, informs us that this sign was present in paper produced in Colmar in 1593, by the St Albantal paper mill.  The literate men and women would have precisely such paper to write on, read, print upon, and re-use for bindings—with a high likelihood it would be imprinted, as here, with a watermark from a French papermill.  Indeed, James Daybell notes that 98% of paper used in English printed and manuscript sources came from a French source.  As such, images like this—along with unicorns, wheels, grapes, fleur-de-lis, and various arms—would have been a familiar aspect of one’s existence, and a daily, even hourly, encounter for those working closely with paper items.  
",,
Letter,Mobility,Paper,Mobility 8_letter,"ZCR 469/379, Letter John Aldersey to his brother Thomas Aldersey, 20 February 1625
",,Mabel's Image,"This proclamation [LETTER] records the forms of travel around and within the country.  DETAIL ON MIDDLING LETTER.  Migration did not necessarily mean those coming from a different country, and the terms “stranger” and “alien” were often applied to those who lived in different parish or part of the country.  Movement across and within different areas of England is therefore a crucial experience for middling men and women: those who worked often travelled for various reasons, often to London—to appear at court, to collect materials, or on professional or social calls.  Similarly, those in provincial communities such as Bristol, Ipswich, or Chester relied on the movement of goods and information throughout the country.  The postal service was a key element in keeping communications flowing—through letters or through the delivery of goods.  This letter therefore indicates how news and official business might spread throughout the realm, providing crucial legal information for those in local governmental or legal offices (by instructing them how to do their jobs) and for the wider society, newly appraised of changes in the law. 
",Chester Record Office,
Merchant Ship,Mobility,Ship,Mobility 9_ship,"Replica of the Susan Constant,
Built 1989
English: A picture of the stern of the replica of the Susan Constant, located at Jamestown Settlement.

Wikimedia Commons
",,"Wikimedia commons: https://commons.wikimedia.org/wiki/Category:Susan_Constant_(ship,_1989)#/media/File:Susan_Constant_Stern.jpg","This merchant ship is a replica of the Susan Constant, a galleon built around 1604 that took colonists to Jamestown two years later.  In 1607, the ship returned to England and likely continued to deliver and trade goods across the seas.  The ship represents a key factor in the English economy—as a merchant trading vessel that made possible the many exchanges of paper, wine, spices, and raw materials that were central to early modern life.  It also speaks to the colonialist project emerging in early modern Europe, with this ship in particular notable for its colonisation of the Americas.  In addition, the ship speaks to the burgeoning slave trade (for which many notable English sailors and merchants, such as John Hawkins, were responsible).  These vessels made possible contact not only with trading neighbours such as France but with areas as far afield as the West Indies and China.  Many of the wealthier individuals of early modern England direclty profited from the trading activities and ventures of these ships and their crew—either by their involvement as merchants or through “joint-stock organisations” such as the East India Company—and others benefited indirectly from the goods that passed through the land and made possible labour from cooking to woodworking.  Such boats therefore represent a key influence on innovation and activity, but they also mark out the often violent, destructive, and ongoing legacy of early imperial action.
[LINK TO WHEELS IN TECHNOLOGY?]
",,
Ruler,Occupation,Tool,Occupation 1_ruler,Canterbury Archaeological Trust,,,"This carpenter's ruler is inscribed with the date 1635, which might mark the year of its making or perhaps commemorate a significant event in its owner's life, like finishing an apprenticeship. It was found during excavations at Longport House at Newington near Folkestone, when the house was dismantaled to make way for the Eurotunnel and rebuilt at the Weald and Downland Museum. This ruler was found at the dismantalling of one of the house's ceilings. It measures 24 inches and has measures marked on one side and decorative patterns carved into the other. Middling men and women often owned tools that had both a practical function and aesthetic appeal (see the wool winder on the belief board). The carpenter that lost their ruler during the building work at Longport House clearly took pride in the tools of their trade that sustained them. Mastic and punching used for decoration – key techniques for joiners like Humphrey Beckham.
","Ask Canterbury Archaeological Trust, but we have good images from them already.",
Overmantel,Occupation,Furniture,Occupation 3_John Harvey Overmantel,Saffron Walden Museum,,,"John Harvey Overmantel – father to Gabriel Harvey. Saffron Walden Museum. 
John Harvey was a yeoman and master ropemaker, and his profession is depicted in the carved mantlepiece that was in his home. John was a member of the Saffron Walden Corporation. Circa 1570. Epitomizes identity crafting of middling through occupation and cultural activities like investment in decoration and home innovation.
",Need to contact museum,
Randle Holme,Occupation,Manuscript,Occupation 4_gabriel harvey,"The Academy of Armoury British Library, Harley MS 2026",,,"Randle Holme iii wrote The Academy of Armoury which was printed in 1688. He was a member of the Holme family and a third generation of painter-stainers and heralds for the city of Chester. He was an alderman. During his lifetime, he drew inspiration for his academy of armoury from the trades he encountered in the city of Chester, and learnt a lot about tools and techniques to create his encyclopedic Academy of Armoury, which is an important reference work for understanding occupations in early modern England. 
",,
Alcester Benefaction Board Trade Panel,Occupation,Painting,Occupation 5_Alcester,Ruth Bubb Images,,,"Alcester Benefaction board
Depicts three men of middling status and occupations: a butcher, a tailor and a carpenter. This board celebrated church benefactors and encouraged further giving through a mixture of word and image. 
",,
Quill,Occupation,Animal,Occupation 6_quill,Shakespeare Birthplace Trust,,"
http://collections.shakespeare.org.uk/exhibition/exhibition/sharing-shakespeares-story/page/2/object/sharing-shakespeares-story-quill-fragment
","Quills (early modern pens) were commonplace tools for writers in early modern England. They were made from feathers, principally from medium-sized birds like geese and swans. Once the feathers had been plucked from the wing, they would be laid to rest and harden before being shaped with a knife. Scribes would have varying preferences for the shape of their pen, depending upon their script, whether they were right or left handed, and whether they wanted to create thick or thin pen strokes. Quills had hollow centres which made them perfect for taking up ink after being dipped in an ink well. Middling men and women would have been very familiar with this tool and were likely to use them for (at least) signing and marking their names, but also for writing correspondence, keeping accounts and writing bills and receipts. Professional middling men who worked as lawyers, doctors, scriveners, clerks or in creative roles like playwrights would have used many hundreds of these pens in their lifetimes in the creation of books and documents. Not many of these quills survive, so this rate fragmented example at the Shakespeare Birthplace Trust stands for the millions of these pens that were used during the sixteenth and seventeenth centuries! 
",SBT,
Commonplace Book,Occupation,Manuscript,Occupation 7_fella,"Folger Shakespeare Library, V.a.311",,"https://luna.folger.edu/luna/servlet/s/jo8jd3
","Thomas Fella' s Commonplace Book 1592-1598
Mixed occupation – calligrapher and draper of Halesworth, Sussex. Middling could have skills across occupational areas.
Expression of a godly identity that was heritable (intended to leave this to grandson)
Part of wider scheme of building up reputation – prominence as draper = property ownership in the town 
Demonstrates an engagement with a variety of printed works 
",,
Inventory,Occupation,Manuscript,Occupation 8_throppe inventory placeholder,"Chester Record Office, Thomas Throppe's Inventory",,,"The making of inventories was a process that many men from various middling occupations were involved in. These men were trusted to accurately value the objects in a decesed person's house as soon as possible after they died and to record their findings in an inventory. This inventory is for the upper middling home of alderman and vintner Thomas Throppe of Chester, who lived on Bridge street within the city walls. He was clearly tremendously wealthy at the time of his death with his inventory valued at £2457 which is the equivalent of £323,144.64 in today's money or 49140 days work for a skilled tradesman, according to the National Archives' currency converter. Throppe sat among the wealthiest citizens in the city, and was so successful that he gained a coat of arms in his lifetime and became mayor. Inventories like this can provide some information about someone's occupation and their social status and how their identity was expressed within their home. Throppe's appraisors included the painter Randle Holme I, who paid close attention to the colours and qualities of the cloth and decoration in Thropp's home. Throppe's forestreet chamber expresses his occupational identity as a vintner, tavern owner and officeholder. His appaisers note 'a table for the maiors sworde & the mace', civic regalia that may have been displayed, at times, during his time as mayor. They also note 22 pictures including those of the King and Queen, and lots of yellow and green cloth adorning seating for numerous guests. This inventory also includes an extensive list of wines kept in his celler to supply his tavern, another, very obvious way in which the goods in Throppe's house accord with his occupation. 
",Chester Record Office,
Lenard Fireback,Occupation,Furniture,Occupation 9_fireback,,,,"Cast-iron firebacks were produced in England from the first half of the sixteenth century and served to protect the back of chimneys and reflect heat back into the room. As domestic buildings increasingly incorporated chimneys these functional accessories were in demand and gradually the plain iron plates were embellished with imagery, including heraldry and biblical subject matter.[1]Among the collection of iron firebacks at Anne of Cleve’s House in Lewes, Sussex, is a personalised fireback dated 1636 depicting Richard Lenard, who succeeded his father as tenant of the iron foundry at Brede in 1605.[2]
This object is a form of annotated portrait – Lenard stands in the centre of the composition with a hammer in his hand and along the top rim are the words RICHARD LENARD FOVNDER AT BRED FOURNIS. Museum listings usually describe this object as representing ‘the tools of his trade’ but Lenard’s fireback is not simply an advertisement of his trade; the imagery appears to place his identity between the spheres of domestic and business interests.
On the right-hand side of the panel is depicted an ornate fireplace complete with its own fireback (with his initials R. L.) and a display of drinking vessels above. A faithful dog leaps to greet his owner.
On the left-hand side are the tools of Lenard’s business operation; a brick furnace with a wheelbarrow above containing charcoal and, in the top left-hand corner, a shield bearing a blacksmith’s hammer, bell and andiron.
Lenard straddles these spheres dressed in what appears to be a nightgown, with its tie and lace collar – a garment worn in the evenings by those who had access to leisure time. There is a striking incongruity in the combined accoutrements of robe and hammer but this meeting of symbols represents Lenard’s self-fashioned identity as that of a well-to-do member of society, proud to exhibit the skills of his trade but equally keen to signal the range of quality possessions furnished by his successful business. This seemingly humble object employs a common language of visual signifiers, such as trade tools, high-status domestic objects and distinctive clothing, which were also used in heraldry as bearings to identify the social rank and qualities of armigerous individuals or institutions.
This pseudo-heraldic personal emblem constructs a social identity for Lenard that cannot be defined as distinctively commercial or domestic in nature, but encompasses both. This fluidity and inter-dependence between spheres may be considered a defining characteristic of middling identity and culture – Lenard exhibits pride here in the mastery of his craft that contributes to the quality of his clothing and domestic furnishings. But at the same time his social status could augment the desirability of his products. The goods he creates and sells are themselves domestic objects placed at the heart of the home, the hearth, with opportunity for bespoke designs – initials, dates and imagery – to reflect and construct individual and social identities within a shared culture of objects and symbols. Presumably this particular demonstration of the products that could be crafted at Brede would have appealed to other middling tradesmen who fashioned themselves in terms of lifestyle as much as occupation.   

",?,
New Place Brewhouse,Occupation,Brewhouse,Occupation 10_brewhouse,,,"https://www.archaeology.org/news/3916-151130-england-shakespeare-kitchen
",Evidence of women's work – Anne Hathway and domestic brewing even in the house of William Shakespeare! ,Ask SBT,
Wool Winder,Occupation,Tool,Occupation 11_wool winder,V&A,,"http://collections.vam.ac.uk/item/O119914/winder-unknown/
","From Catalogue:The inscription runs: LEADE ME FORTHE IN THY 1580 TRUETH AND LEARNE ME FOR THOU AR THE GOD OF MY SALVACION IN THE HATH BEEN MY AL THE DAY LONGE [Psalm 25 v.5] 1580 O LORD HAVE MERCI UPON O LORD  Along the edges is inscribed: LOVE INNVIETH W S E N A [of uncertain significance but apparently relating to I Corinthians, XIII, v.4] NO TRHEM SBYRD ONEW [of uncertain significance]

Prayer entwined with work
Women's work in the home – winding wool
Middling identity – occuaptional work, labour and godliness...

",Need license from V&A,
Apothecary Jar,Occupation,Pottery,Occupation 12_apothecary,Museum of London,,https://collections.museumoflondon.org.uk/online/object/113012.html,,Museum of London copyright,
Libel,Reputation,Manuscript,Reputation 1_libel,"Kent History and Library Centre, U269/F36",,None,"TO THE BAYLIFS OF TEWKSBURY 
To yow graue Senators of this Corporacon 
O let mee speake, in love, and acclamac[i]on 
To your praysing on, that for twelue months space 
Flame borne the rule and sceptre of this place 
Eternall glory shall attend your worth 
But gunable am to sett it forth. 
And yet I know your Carridg hath bene such 
Your predecessors haue not done soe much 
Loue bids mee say yow weare good clothes & neat 
In dishes full yow haue scon’d in your meate 
Feated you haue the rich and all the poore 
Say they haue tasted of your bounteous store 
Of frious zeale, yow show Religion such here 
Furnishe with sacke and clarett and good beare 
To grace this Towne and for your entertigne 
Each man is pleas’d none iustly can complayne 
What should I say wisdome is in your faces 
Knowledge and virtue seated in your places 
Experience of yo[u]r worth shall surely brood 
Such docum[en]t to them that shall succeed 
By will observing what you did before 
Vainly they doe if they doe less or more 
Rest you content, and thinke it noe disgrace 
Your custome bidds deliver use your mace 
            You haue a custome and I thinke twere fit 
            Att your next Hall to change and alter itt 
            And tis a thing hath troubled much my mind 
            That you should not bee sworne till you haue dind 
            For feeding full and drinking very deepe 
            Doth cast the sences all into asleepe 
            Can you performe or shall you not offend 
            Hearing yo[ur] oath and cannot apprehend 
            To tell you plaine and for to speake the troth 
            Hould it dangerous then to take an oath 
            Though some doe say wine doth refine the witt 
            (Moderarely taken I acknowledge itt) 
            Butt by experience I AFFIRME AND SAY 
            Taking to much doth take the sence away 
            And therefore make an order everlastinge 
            Bayliffes shall take their oaths both fresh and fasting 
            An yow yt: are to governe this next yeere 
            Hold use your heads bee blish and of good cheare 
            What though yow spend some of your wealth and store 
            Worshop and honnor yow shall haue the more 
1v 
Putt on good clothes fare well invite yo[u]r frend 
Yow gaine repute if yow lay on and spend 
Yow may bee grave and yet a merry minde 
Will best beseeme yow bee to all men kind 
In place of Justice yow must understand 
Your duty is to beare an equall hand 
Bee sure yow speake not much lest yow bewray 
Yow understand not well what yow doe say 
Lett your assistants speake soe shall appeare 
Things as they ought doe yow sit by and heare 
And from your Bench as from a glorious Hill 
Law and good Conscience sweetly shall distill 
Soe hall this towne, and people win the prayse 
And bee a patterne to these boystrous dayes./ 
2r 
Mr Sanford & my selfe  poore lodges in the chamber ouer 
the gate where some times my lady her self doth lodge 
where is her confecionary her cordiall swett waters 
her p[er]fumed rich baggs her cabonetts & jewels in 
another chamber not farr of where my sonne lay 
& where it seems mr hill did lodge, in the window 
instead of a looking glasse I found this inclosed paper 
a speech w[hi]ch mr Hill made to the Bailiffs of Tewksbury 
on the day when they tooke their places Being composed 
by them him we doubt upon good consequence & p[re]parac[i]on 
I made so bould as putt it up & bring it home & get 
Drifte not kepe it but send it to your hands by w[hi]ch 
Meanes hee may haue it againe & some I doe beleeue 
Hee left it there to haue it seene but it is strange 
It should soe come to my hands my lord of midd[lese]x. 
My lord of Glouc[es]t[er] Sr Henry Spillor & your selfe 
Shall virtues his abilities & worth when they see 
It. //                                                     L. Ro: Do: 
  ‘Mr Dover Verses’/ In the name of Mr Hill/ To the Bayliffs of Tewkesbury/ The day they answerr 

Hannah's transcription (excuse typos)

From Kent History and Library Centre U269/F36 (Lionel Cranfield's Papers)

William Hill acted at Town Clerk for Tewkesbury for much of his adult life, and also as Lionel Cranfield's estate steward on his Forthampton estate and deer park. This verse libel, in the form of an acrostic, was discovered by Robert Dover's son in the place of a window pane in the room where Hill stayed when visiting Cranfield's residence, Milcote House in Warwickshire. It caricatures the bailiff's of Tewkesbury's indulgences, painting them as drunkards who would wine and dine before their 'halls' (meetings) and so dull their ability to make important decisions. This is a pretty scandalous libel against the town governors, potentially by a professional middling man. Public crafting of identities...

Of course no proof William Hill did actually write this, could have been RObert Dover himself attempting to discredit him. 


",Kent History and Library Centre,
Slander,Reputation,Manuscript,Reputation 2_slander,"British Library Harley MS 4064, fol.189r",,https://shakespearedocumented.folger.edu/file/harley-ms-4064-folio-189-recto,"On the 16th July 1613 Susanna Hall, Shakespeare's daughter, and wife to John Hall went to the consistory court at Worcester and filed a slander suit against John Lane, who had accused her of committing adultery with John Lane. Slander was a very serious threat to a middling men and women, because it could destroy their reputation within their community making it very difficult for them to gain positions of responsibility and to be favourably perceived. Going to the consistory court was one way through which women could clear their names and restore their good social standing. Susanna claimed that she had not lain with Raffe Smith, and John Lane missed the court date. Susanna was proven innocent in court and had her name cleared, but John Lane was excommunicated. Therefore, Lane's slander backfired causing him far more reputational damage than Susanna. 

I don't think all of this is on Shakespeare Documented yet. I got some info from the Shakespeare's World website, but would be good to check whole documentation at some point: https://www.exploreshakespearesworld.com/shakespeares-world-app/why-did-susannah-file-a-lawsuit-for-slander-in-1613/
",British Library,
Customns,Reputation,Print,Reputation 3_skimmington,Folger Shakespeare Library,,"https://luna.folger.edu/luna/servlet/view/search?search=SUBMIT&q=English+Customs+1628&dateRangeStart=&dateRangeEnd=&sort=call_number%2Cmpsortorder1%2Ccd_title%2Cimprint&QuickSearchA=QuickSearchA
","Includes skimmington ritual in the background – middling as shapers of this public form of punishment...also elite looking down on the middling 
",Project partners - Folger ,
Heraldry,Reputation,Wall painting,Reputation 4_heraldry,Ipswich Café Nero,,,"52-54 Buttermarket Ipswich. Now a café nero. Wall painting of 1593 royal coat of arms. Not sure whether this is its original position as the brick work around it is 19th century, so may have been moved. Currently present on chimney breast. 
",Can take an image ourselves,
Signet Ring,Reputation,Jewellery,Reputation 5_ring,Shakespeare Birthplace Trust,,"https://www.shakespeare.org.uk/explore-shakespeare/blogs/shakespeare-100-objects-shakespeares-signet-ring/
","Seal ring with the inscription W.S. Connects to literacy – uses in correspondence/ wills. Middling men and women sought to invest in items which displayed their status and the particularly wealthy members of this group invested in jewelry which would signify their wealth to those around them. A ring such as this would have been a significant asset to an upper middling man and could craft his reputation as a literate, wealthy individual with enough documents to seal to make such an investment worth it. Men and women of this status level often bequeathed rings in their wills to close friends and family members (most frequently of 20s worth), meaning that certain individuals were gifted items like these from their broader social network, who sought to maintain social status within this group.  
",SBT,
Clothing,Reputation,Clothing,Reputation 6_Thomas Bell,Gloucester Folk Museum,,https://www.artuk.org/discover/artworks/thomas-bell-14861566-62324,"Clothing was an important means through which middling men and women expressed their identities. This portrait is of Thomas Bell of Gloucester, who was mayor of the town three times between 1535 and 1554. He was a capper by trade and employed many other men in his business, and the inscription on his portrait explains that he 'did wel for the poore provide'. His clothing in this portrait would have been immediately recognisable to men and women of all status groups as belonging to a town governor (mayor, bailiff or alderman). He wears a scarlet gown with a fur trim, which would have been a very expensive item of clothing, and would have carried significance as a traditional 'uniform' worn by leaders and would communicate the wearer's civic importance to those around them. The wearer of such a scarlet gown would also have achieved an excellent reputation in their town, and wearer's would also communicate their trustworthiness and moral service to their community. 

[EVIDENCE FROM SOME INVENTORIES to talk a little bit about clothing more broadly?]

",Need to ask museum but on Art UK so might be easy to get permission!,
Corporate Reputation,Reputation,Furniture,Reputation 7_pews,Bridgewater corporation pew,,,"The order in which men and women were seated in their local parish church was a marker of their reputation within their community.  
",Can take images in church,
Printed Personalities,Reputation,Print,Reputation 8_Greene,"Thomas Greene, A Poet's Vision and a Princes Glorie(London, 1603)",,,"Thomas Greene, town clerk of Stratford Upon Avon. His poetry: 'A Poets Vision and a Princes Glorie' published in 1602, the same year he was called to the bar. He calls himself a 'gentleman' on the cover, marking his new identity after gaining a legal education. Having the reputation of a 'gentleman' could afford someone of middling status certain privileges with regards to responsibilities within their communities, but the title did not necessarily always denote gentry status, with some of these men living like their middling peers: working for a living, being neither very rich nor very poor, and not holding a coat of arms.
",British Library,
Godly Identity,Reputation,Print,Reputation 9_religion,A Book of Christian Prayers,,https://collections.vam.ac.uk/item/O1427002/a-booke-of-christian-prayers-book/,"A book of Christian Prayers
https://collections.vam.ac.uk/item/O1427002/a-booke-of-christian-prayers-book/
1590 V&A
Godly identity = tied to printed books like this that prompted certain rituals, like prayer, that would punctuate middling men's and women's days.
",V&A needs license ,
Altar,Reputation,Furniture,Reputation 10_altar,Lyme Regis parish church,,"
http://www.lymeregis-parishchurch.org/history.html","Local legend – reputation after moving to London. 
Richard Harvey of London is remembered in this 1613 pulpit in Lyme Regis parish church Dorset. 

http://www.lymeregis-parishchurch.org/history.html terrible image, but I can take a new one after lockdown!

Harvey went to London from the town, becoming a mercer and merchant adventurer. Associated with Godly reputation too. 
",Can take image ourselves,
Businesswomen,Reputation,Portrait,Reputation 11_portrait,Royal Albert Museum Exeter,,"https://rammcollections.org.uk/object/140-1998/
","Elizabeth Flaye (1587-1673) was one of Exeter’s prominent citizen’s. Her husband, Thomas was an apothecary and alderman. The couple founded six almshouses in Goldsmith Street whose site now lies within the Guildhall Shopping Centre.
",Royal Albert Museum,
Salisbury Bonds,Reputation,Manuscript,Reputation 12_Beckham bonds,"Wiltshire and Swindon History Centre, G23/1/59, fol.3r",,,Linked to Humphrey Beckham - lists him as one of the principles of the 'March Money' with his brothers John and Benjamin listed as his sureties,Need permission,
Civic Infastructure,Technology,,,,,,,,
Domestic Tech,Technology,,,,,,,,
Kitchen,Technology,,,,,,,,
Military,Technology,,,,,,,,
Gardening,Technology,,,,,,,,
Presses,Technology,,,,,,,,
Travel Changes ,Technology,,,,,,,,
Beerbrewing,Technology,,,,,,,,
Shipbuilding,Technology,,,,,,,,
Assaying,Technology,,,,,,,,
Candles,Technology,,,,,,,,
Clothing Changes,Technology,,,,,,,,
